"Format","AiM CSV File"
"Session","241008_10:00PM"
"Vehicle","SIK Session 1"
"Racer","Jackson"
"Championship",""
"Comment",""
"Date","Wednesday, October 9, 2024"
"Time","1:17 AM"
"Sample Rate","20"
"Duration","550"
"Segment","Session"
"Beacon Markers","550"
"Segment Times","9:10.000"

"Time","Predictive Time","Best Run Diff","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Internal Battery"
"s"," "," ","g","g","g","deg/s","deg/s","deg/s","V"

,"0","0","-0.20","0.02","-1.03","-0.1","0.2","-0.0","3.9"
,"0","0","-0.18","0.07","-1.05","-0.1","-0.1","-0.0","3.9"
,"0","0","-0.03","0.08","-1.01","-0.0","0.0","-0.1","3.9"
,"0","0","0.07","0.04","-0.95","0.0","0.2","-0.0","3.9"
,"0","0","0.08","-0.00","-0.92","-0.1","0.1","-0.0","3.9"
,"0","0","0.07","-0.05","-0.95","-0.0","0.2","-0.0","3.9"
,"0","0","-0.09","-0.04","-1.00","-0.1","0.1","-0.0","3.9"
,"0","0","-0.12","0.03","-1.05","-0.1","0.3","-0.1","3.9"
,"0","0","-0.08","0.08","-1.07","-0.1","0.1","-0.0","3.9"
,"0","0","0.04","0.09","-1.04","-0.1","0.1","-0.1","3.9"
,"0","0","0.08","0.07","-0.98","-0.6","-0.8","-0.4","3.9"
,"0","0","0.06","-0.02","-0.95","-2.2","-4.9","-1.0","3.9"
,"0","0","0.05","-0.07","-0.96","-1.3","-3.1","-0.4","3.9"
,"0","0","-0.06","-0.08","-0.99","-0.4","-0.8","-0.1","3.9"
,"0","0","-0.06","-0.01","-1.05","-0.1","0.2","-0.0","3.9"
,"0","0","0.07","0.07","-1.08","-0.0","0.3","-0.1","3.9"
,"0","0","0.14","0.09","-1.07","-0.0","0.1","-0.1","3.9"
,"0","0","0.08","0.06","-1.00","-0.1","-0.0","-0.0","3.9"
,"0","0","0.07","-0.04","-0.95","0.1","0.3","-0.1","3.9"
,"0","0","0.10","-0.13","-0.96","0.0","0.2","-0.1","3.9"
,"0","0","0.04","-0.14","-0.99","-0.0","0.1","-0.0","3.9"
,"0","0","-0.07","-0.03","-1.04","-0.0","-0.1","-0.0","3.9"
,"0","0","-0.06","0.06","-1.05","-0.0","0.0","-0.0","3.9"
,"0","0","0.02","0.09","-1.03","-0.1","-0.4","-0.0","3.9"
,"0","0","0.02","0.06","-0.97","-0.1","-0.4","-0.0","3.9"
,"0","0","0.08","0.01","-0.93","-0.0","-0.2","-0.1","3.9"
,"0","0","0.02","-0.06","-0.95","-0.1","-0.2","0.0","3.9"
,"0","0","-0.04","-0.09","-0.98","-0.1","-0.2","0.0","3.9"
,"0","0","-0.15","-0.02","-1.02","-0.0","-0.2","-0.0","3.9"
,"0","0","-0.09","0.07","-1.04","-0.0","-0.1","-0.0","3.9"
,"0","0","0.06","0.08","-1.00","-0.0","-0.2","-0.0","3.9"
,"0","0","0.12","0.05","-0.95","-0.1","-0.1","-0.0","3.9"
,"0","0","0.12","0.02","-0.94","-0.0","-0.1","-0.0","3.9"
,"0","0","0.01","-0.04","-0.96","-0.0","-0.1","-0.0","3.9"
,"0","0","-0.10","-0.04","-1.02","-0.1","-0.1","-0.0","3.9"
,"0","0","-0.11","0.02","-1.06","-0.1","-0.3","-0.1","3.9"
,"0","0","-0.05","0.07","-1.05","-0.1","-0.2","-0.1","3.9"
,"0","0","0.05","0.10","-1.00","-0.1","-0.0","-0.0","3.9"
,"0","0","-0.09","0.04","-0.97","0.6","1.2","-0.6","3.9"
,"0","0","-0.11","-0.05","-0.96","1.1","1.8","-1.2","3.9"
,"0","0","-0.07","-0.09","-0.95","-0.9","-3.5","-0.0","3.9"
,"0","0","-0.12","-0.10","-1.00","0.5","0.6","-0.5","3.9"
,"0","0","-0.04","0.01","-1.04","-0.1","0.3","0.8","3.9"
,"0","0","0.02","0.08","-1.01","1.3","5.4","0.3","3.9"
,"0","0","0.06","0.08","-0.98","0.4","2.9","1.0","3.9"
,"0","0","0.07","0.03","-0.94","0.0","1.7","-0.1","3.9"
,"0","0","0.06","-0.07","-0.94","-0.0","2.0","-0.6","3.9"
,"0","0","-0.04","-0.09","-0.99","-0.9","-1.9","-0.5","3.9"
,"0","0","-0.09","-0.08","-1.03","0.6","2.0","-0.2","3.9"
,"0","0","-0.12","0.01","-1.05","-0.2","-2.7","0.8","3.9"
,"0","0","-0.06","0.08","-1.02","1.2","1.5","-0.1","3.9"
,"0","0","0.00","0.10","-0.96","-0.1","2.6","0.7","3.9"
,"0","0","0.02","0.06","-0.93","-0.8","1.1","0.2","3.9"
,"0","0","0.08","0.01","-0.93","-0.8","-2.7","-0.1","3.9"
,"0","0","-0.04","-0.05","-0.95","-0.5","-1.6","-0.0","3.9"
,"0","0","-0.11","-0.04","-1.01","-0.1","-0.2","-0.0","3.9"
,"0","0","-0.08","-0.00","-1.06","-0.1","-0.2","-0.0","3.9"
,"0","0","-0.02","0.07","-1.04","-0.1","-0.1","0.0","3.9"
,"0","0","0.07","0.09","-0.98","0.1","0.5","0.0","3.9"
,"0","0","0.05","0.01","-0.96","0.0","0.4","0.0","3.9"
,"0","0","0.03","-0.05","-0.95","0.0","0.2","0.0","3.9"
,"0","0","-0.05","-0.10","-0.97","0.0","0.0","-0.0","3.9"
,"0","0","-0.08","-0.05","-1.02","0.0","0.2","0.0","3.9"
,"0","0","0.03","0.07","-1.06","-0.0","-0.0","-0.1","3.9"
,"0","0","0.11","0.13","-1.04","-0.1","-0.2","-0.1","3.9"
,"0","0","0.08","0.08","-0.98","-0.0","0.0","-0.1","3.9"
,"0","0","0.05","-0.03","-0.95","-0.0","0.2","-0.1","3.9"
,"0","0","0.04","-0.07","-0.96","-0.1","-0.0","-0.0","3.9"
,"0","0","-0.06","-0.06","-1.00","-0.1","-0.0","-0.1","3.9"
,"0","0","-0.11","-0.06","-1.03","-0.1","-0.0","-0.1","3.9"
,"0","0","-0.14","-0.01","-1.04","-0.1","-0.2","0.1","3.9"
,"0","0","-0.06","0.03","-0.99","-0.1","-0.5","0.1","3.9"
,"0","0","-0.01","0.06","-0.95","-0.0","-0.1","-0.0","3.9"
,"0","0","0.04","0.06","-0.93","-0.0","0.2","-0.1","3.9"
,"0","0","0.04","0.02","-0.95","0.0","0.3","-0.1","3.9"
,"0","0","-0.08","-0.03","-1.00","-0.0","0.2","-0.1","3.9"
,"0","0","-0.08","-0.01","-1.06","0.0","0.4","-0.1","3.9"
,"0","0","-0.07","0.02","-1.06","0.0","0.3","-0.1","3.9"
,"0","0","0.02","0.04","-1.01","-0.1","0.1","-0.0","3.9"
,"0","0","0.07","0.05","-0.96","-0.1","0.0","0.0","3.9"
,"0","0","0.09","0.03","-0.94","-0.1","0.1","-0.0","3.9"
,"0","0","0.04","-0.00","-0.95","-0.1","0.1","-0.0","3.9"
,"0","0","-0.08","-0.05","-1.00","-0.0","-0.0","-0.0","3.9"
,"0","0","-0.04","-0.03","-1.05","0.0","-0.0","-0.0","3.9"
,"0","0","0.07","0.03","-1.05","0.0","0.1","-0.1","3.9"
,"0","0","0.11","0.05","-1.01","-0.0","-0.0","-0.1","3.9"
,"0","0","0.07","0.03","-0.97","-0.1","-0.0","-0.0","3.9"
,"0","0","0.04","-0.07","-0.97","-0.0","0.1","-0.0","3.9"
,"0","0","-0.01","-0.14","-0.99","0.0","0.2","-0.1","3.9"
,"0","0","-0.07","-0.12","-1.02","-0.0","0.0","-0.0","3.9"
,"0","0","-0.02","-0.03","-1.05","-0.0","-0.0","-0.0","3.9"
,"0","0","0.00","0.06","-1.01","-0.0","-0.0","-0.0","3.9"
,"0","0","0.04","0.07","-0.97","-0.2","-0.3","0.3","3.9"
,"0","0","0.05","0.02","-0.95","-0.8","-2.5","2.0","3.9"
,"0","0","0.04","-0.09","-0.97","-0.9","-2.4","1.5","3.9"
,"0","0","-0.03","-0.09","-1.01","-0.3","-0.6","0.4","3.9"
,"0","0","-0.07","-0.08","-1.05","-0.1","0.0","-0.0","3.9"
,"0","0","-0.03","0.00","-1.05","-0.1","-0.1","-0.1","3.9"
